fragment_id,source_dataset,review_id,variant_fragment_raw,variant_fragment_normalized,phonetic_text,pinyin_reading,canonical_fragment,canonical_phonetic_text,canonical_pinyin_reading,ipa,ipa_candidate,canonical_ipa,canonical_ipa_candidate,needs_manual_review,manual_review_reasons,extraction_method,category,review_categories,official_code_pinyin,official_decode_pinyin,official_code_ipa,official_decode_ipa,original_review,decode_review,source_instance_count,source_review_ids,deduplication_key,split
codedlang:873:01,Crowd-AI-Lab/CodedLang,873,一p,一p,一p,yi p,一批,一批,yi pi,i pˈiː,i pˈiː,i pʰi,i pʰi,否,[],official_dictionary_casefold,语音替代,phonetic,yi1 p,yi1 pi1,i˥ ˈpi,i˥ pʰi˥,"很同意上一条评价，老板老板娘毫无诚信可言，刚开店的时候老板娘态度以及店员服务都不错，但生意好起来就原形毕露。1. 态度拽的一p，以为自己做个小生意真成大老板了 2. 东西size越来越小，口味也是一般般。总之不会再来了。胖妮和不见不散，老江湖都比这个强。 Dishonest owner. 1. Service is terrible 2. Food is way overpriced, would recommend Darin bbq/ see you again bbq","很同意上一条评价，老板老板娘毫无诚信可言，刚开店的时候老板娘态度以及店员服务都不错，但生意好起来就原形毕露。1. 态度拽的一批，以为自己做个小生意真成大老板了 2. 东西size越来越小，口味也是一般般。总之不会再来了。胖妮和不见不散，老江湖都比这个强。 啲ishonest owner. 1. Service is terri逼le 2. Food is way overpriced, would reco妹妹end 啲arin 逼逼q/ see you again 逼逼q",1,"[""873""]",一p -> 一批,train
codedlang:157:04,Crowd-AI-Lab/CodedLang,157,下剑,下剑,下剑,xia jian,下贱,下贱,xia jian,ɕia tɕiɛn,ɕia tɕiɛn,ɕia tɕiɛn,ɕia tɕiɛn,否,[],official_dictionary_casefold,非词汇同音词,"ambiguous_homophone, non_lexical_homophone, phonetic",xia4 jian4,xia4 jian4,ɕja˥˩ tɕjɛ˥˩n,ɕja˥˩ tɕjɛ˥˩n,加福草泥马的，保险给你钱了尼玛跟我索赔，尼玛脑门子被JB顶坏了是不是，我打电话给保险，保险跟我说付过你们钱了 让我打电话给你们，你们这才知道付过钱了，现在一声不吭了，服务态度差的跟没家教一样，没人教是不是，下剑胚子，DON'T COME THIS PLACE ，They will ask you for a claim after they charge，They are very rude and uneducated!Very unprofessional!!!,加福操你妈的，保险给你钱了你妈跟我索赔，你妈脑门子被鸡巴顶坏了是不是，我打电话给保险，保险跟我说付过你们钱了 让我打电话给你们，你们这才知道付过钱了，现在一声不吭了，服务态度差的跟没家教一样，没人教是不是，下贱胚子，啲ON'T COME THIS PLACE ，They will ask you for a claim after they charge，They are very rude and uneducated!Very unprofessional!!!,2,"[""157"", ""168""]",下剑 -> 下贱,train
codedlang:379:01,Crowd-AI-Lab/CodedLang,379,8,8,八,ba,不,不,bu,pa,pa,pu,pu,否,[],official_dictionary_casefold,歧义同音词,ambiguous_homophone,ba1,bu4,pa˥,pu˥˩,8太行,不太行,1,"[""379""]",8 -> 不,train
codedlang:44:02,Crowd-AI-Lab/CodedLang,44,chǒu,chǒu,chǒu,ch ǒ u,丑,丑,chou,,sˌiːˈeɪtʃ u,ʈʂʰoʊ,ʈʂʰoʊ,是,"[{""type"": ""source_unresolved_symbol_or_digit""}]",official_dictionary_casefold,语音替代,non_lexical_homophone,chǒu,chou3,ʈ͡ʂʰòʊ̯,ʈ͡ʂʰòʊ̯,一进门就推销酒，说了不喝还没完没了。完后水跟鱼塘里盛出来的似的，一股鱼腥味，鸡肉干的跟木头似的，连鸡腿都跟特么跟树枝似的，整顿饭最好吃的是餐前上的香蕉干儿，给得还挺多，就是吃到一半的时候，服务员给拿走了，不知道是不是给下一桌了。服务员也是chǒu绝了，估计是老板从进的猪肉里挑的，胖就算了，还丑，丑就算了，还化一个更丑的妆，这也就算了，还一个劲儿地往上凑，吓唬谁呢。最后还强加18%的服务费，最后还有add tips一栏，也是醉了。在迈阿密吃的最烂的一顿饭。知道你们美国跟古巴有仇，也不至于这么糟践人家吧。,一进门就推销酒，说了不喝还没完没了。完后水跟鱼塘里盛出来的似的，一股鱼腥味，鸡肉干的跟木头似的，连鸡腿都跟他妈跟树枝似的，整顿饭最好吃的是餐前上的香蕉干儿，给得还挺多，就是吃到一半的时候，服务员给拿走了，不知道是不是给下一桌了。服务员也是丑绝了，估计是老板从进的猪肉里挑的，胖就算了，还丑，丑就算了，还化一个更丑的妆，这也就算了，还一个劲儿地往上凑，吓唬谁呢。最后还强加1不%的服务费，最后还有add tips一栏，也是醉了。在迈阿密吃的最烂的一顿饭。知道你们美国跟古巴有仇，也不至于这么糟践人家吧。,1,"[""44""]",chǒu -> 丑,train
codedlang:12:01,Crowd-AI-Lab/CodedLang,12,惹,惹,惹,re,了,了,le,ɻɤ,ɻɤ,lɤ,lɤ,否,[],official_dictionary_casefold,歧义同音词,ambiguous_homophone,re3,le,ɻɤ˧˩˧,lɤ,一不小心 還是買惹 vitamin & nuts 0305y14,一不小心 還是買了 vitamin & nuts 0305y14,14,"[""12"", ""548"", ""562"", ""640"", ""667"", ""675"", ""681"", ""697"", ""698"", ""741"", ""767"", ""776"", ""807"", ""813""]",惹 -> 了,train
codedlang:878:02,Crowd-AI-Lab/CodedLang,878,二nei村,二nei村,二nei村,er nei cun,二奶村,二奶村,er nai cun,əɻ nei tsʰuən,əɻ nei tsʰuən,əɻ nai tsʰuən,əɻ nai tsʰuən,否,[],official_dictionary_casefold,语音替代,"non_lexical_homophone, phonetic",er4 nei cun1,er4 nai3 cun1,ɚ˥˩ nei̯ tsʰwə˥n,ɚ˥˩ nai̯˧˩˧ tsʰwə˥n,5星推荐-不要被中文译名迷糊了，这儿对于国人就是一处万国园。 有植物园，收藏园，各国特色建筑园，综合类园。 推荐仙人掌园，直走左侧。 推荐中国园和日本园，还有儿童迷你乐园。 图书馆可以不进。 收藏馆可以不进。 用逛植物园和猎奇的心态去逛。 穿双好鞋，因为会走很久。 停车场免费，但小心车里不要留钱财衣物，还是有贼人来砸车窗的。 整个园林很大，但其实更有名气的是园林所在的城市，在落膻鸡有二nei村之美称。号称吴xiu波等大陆戏子均在此有宅子。 不多说了，有钱人的世界你们最懂。,5星推荐-不要被中文译名迷糊了，这儿对于国人就是一处万国园。 有植物园，收藏园，各国特色建筑园，综合类园。 推荐仙人掌园，直走左侧。 推荐中国园和日本园，还有儿童迷你乐园。 图书馆可以不进。 收藏馆可以不进。 用逛植物园和猎奇的心态去逛。 穿双好鞋，因为会走很久。 停车场免费，但小心车里不要留钱财衣物，还是有贼人来砸车窗的。 整个园林很大，但其实更有名气的是园林所在的城市，在洛杉矶有二奶村之美称。号称吴秀波等大陆戏子均在此有宅子。 不多说了，有钱人的世界你们最懂。,1,"[""878""]",二nei村 -> 二奶村,train
codedlang:230:01,Crowd-AI-Lab/CodedLang,230,五花又,五花又,五花又,wu hua you,五花肉,五花肉,wu hua rou,u xua iou,u xua iou,u xua ɻoʊ,u xua ɻoʊ,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,wu3 hua1 you4,wu3 hua1 rou4,u˧˩˧ xwa˥ jou̯˥˩,u˧˩˧ xwa˥ ɻou̯˥˩,五花又,五花肉,1,"[""230""]",五花又 -> 五花肉,train
codedlang:606:02,Crowd-AI-Lab/CodedLang,606,rmb,rmb,rmb,rmb,人民币,人民币,ren min bi,ˌɑːɹˌɛmbˈiː,ˌɑːɹˌɛmbˈiː,ɻən min pi,ɻən min pi,否,[],official_dictionary_casefold,语音替代,phonetic,rmb,ren2 min2 bi4,ˈɑɹ ˈɛm pi˥,ɻə˧˥n mi˧˥n pi˥˩,别被广告骗了，皮厚到没朋友，厚就算了还不劲道 全tm漏了，里面还不刷酱，果子也不脆，你直接去超市买墨西哥玉米饼卷卷都比这强，这水平不如国内学校门口5块rmb煎饼果子水平高，吃完了到现在想想我还反suan水。,别被广告骗了，皮厚到没朋友，厚就算了还不劲道 全他妈漏了，里面还不刷酱，果子也不脆，你直接去超市买墨西哥玉米饼卷卷都比这强，这水平不如国内学校门口5块人民币煎饼果子水平高，吃完了到现在想想我还反酸水。,1,"[""606""]",rmb -> 人民币,train
codedlang:126:01,Crowd-AI-Lab/CodedLang,126,神马,神马,神马,shen ma,什么,什么,shen me,ʂən ma,ʂən ma,ʂən mɤ,ʂən mɤ,否,[],official_dictionary_casefold,歧义同音词,ambiguous_homophone,shen2 ma3,shen2 me,ʂə˧˥n ma˧˩˧,ʂə˧˥n mɤ,北京烤鸭，夫妻肺片，麻辣牛筋，西湖牛肉羹神马的都很给力~ 强烈建议推出炒肝，油条，煎饼果子，豆腐脑，豆浆，皮蛋瘦肉粥，羊杂，烩面，羊肉泡馍，以及锅巴类食品。。,北京烤鸭，夫妻肺片，麻啦牛筋，西湖牛肉羹什么的都很给力~ 强烈建议推出炒肝，油条，煎饼果子，豆腐脑，豆浆，皮蛋瘦肉粥，羊杂，烩面，羊肉泡馍，以及锅巴类食品。。,4,"[""126"", ""163"", ""347"", ""462""]",神马 -> 什么,train
codedlang:44:01,Crowd-AI-Lab/CodedLang,44,特么,特么,特么,te me,他妈,他妈,ta ma,tʰɤ mɤ,tʰɤ mɤ,tʰa ma,tʰa ma,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,te4 me,ta1 ma1,tʰɤ˥˩ mɤ,tʰa˥ ma˥,一进门就推销酒，说了不喝还没完没了。完后水跟鱼塘里盛出来的似的，一股鱼腥味，鸡肉干的跟木头似的，连鸡腿都跟特么跟树枝似的，整顿饭最好吃的是餐前上的香蕉干儿，给得还挺多，就是吃到一半的时候，服务员给拿走了，不知道是不是给下一桌了。服务员也是chǒu绝了，估计是老板从进的猪肉里挑的，胖就算了，还丑，丑就算了，还化一个更丑的妆，这也就算了，还一个劲儿地往上凑，吓唬谁呢。最后还强加18%的服务费，最后还有add tips一栏，也是醉了。在迈阿密吃的最烂的一顿饭。知道你们美国跟古巴有仇，也不至于这么糟践人家吧。,一进门就推销酒，说了不喝还没完没了。完后水跟鱼塘里盛出来的似的，一股鱼腥味，鸡肉干的跟木头似的，连鸡腿都跟他妈跟树枝似的，整顿饭最好吃的是餐前上的香蕉干儿，给得还挺多，就是吃到一半的时候，服务员给拿走了，不知道是不是给下一桌了。服务员也是丑绝了，估计是老板从进的猪肉里挑的，胖就算了，还丑，丑就算了，还化一个更丑的妆，这也就算了，还一个劲儿地往上凑，吓唬谁呢。最后还强加1不%的服务费，最后还有add tips一栏，也是醉了。在迈阿密吃的最烂的一顿饭。知道你们美国跟古巴有仇，也不至于这么糟践人家吧。,56,"[""44"", ""55"", ""65"", ""68"", ""76"", ""85"", ""86"", ""88"", ""92"", ""103"", ""105"", ""111"", ""114"", ""133"", ""135"", ""138"", ""147"", ""149"", ""156"", ""160"", ""167"", ""170"", ""190"", ""194"", ""209"", ""225"", ""234"", ""236"", ""248"", ""291"", ""299"", ""308"", ""315"", ""316"", ""322"", ""331"", ""332"", ""336"", ""338"", ""341"", ""348"", ""352"", ""363"", ""373"", ""395"", ""403"", ""415"", ""422"", ""428"", ""430"", ""434"", ""445"", ""464"", ""472"", ""491"", ""523""]",特么 -> 他妈,train
