序号,id,原始变种文本,还原答案,CoreHit命中,variant_mapping,语音映射片段含字母,语义片段映射,完整上下文映射,macro_category,category,reasoning,语义片段映射含英文字母,字母片段一声调映射,语义片段映射（字母归一化）
1,biz_symbol_000013#1,JB_20cm,鸡巴_20cm,是,JB -> 鸡巴,是,JB -> 鸡巴,JB_20cm -> 鸡巴_20cm,其他,缩写,变体“JB”是拼音首字母缩写，发音与“鸡巴”无关且不相似，属于缩写。,是,JB -> ji bo,ji bo -> 鸡巴
2,biz_symbol_000025#1,王者荣耀策划4000+,王者荣耀策划死全家,是,4000+ -> 死全家,否,王者荣耀策划4000+ -> 王者荣耀策划死全家,王者荣耀策划4000+ -> 王者荣耀策划死全家,拟音,语音符号替代,利用数字'4000'的读音'si4 qian1'和'+'的读音'jia1'，合起来近似'死全家'的发音，属于语音符号替代。,否,,王者荣耀策划4000+ -> 王者荣耀策划死全家
3,biz_symbol_000057#1,tt超薄0.01,套套超薄0.01,否,tt -> 套套,是,tt -> 套套,tt超薄0.01 -> 套套超薄0.01,其他,缩写,使用拼音首字母缩写“tt”代替“套套”，发音无关，属于缩写类。,是,tt -> te te,te te -> 套套
4,biz_symbol_000075#1,没跌媚娘看腻木呢？🤓,没爹没娘看你妈呢？🤓,否,没跌 -> 没爹；媚娘->没娘；腻木 -> 你妈,否,没跌媚娘 -> 没爹没娘；看腻木呢 -> 看你妈呢,没跌媚娘看腻木呢？🤓 -> 没爹没娘看你妈呢？🤓,拟音,非词汇同音词,变体“跌媚”和“腻木”通过音近方式编码“爹没”和“你妈”，表面组合无实际意义，符合非词汇同音词定义。,否,,没跌媚娘 -> 没爹没娘；看腻木呢 -> 看你妈呢
5,biz_symbol_000069#1,小姐姐十出十进干.,小姐姐时出时进干.,否,十 -> 时,否,十出十进 -> 时出时进,小姐姐十出十进干. -> 小姐姐时出时进干.,拟音,歧义同音词,“十”与“时”同音，替换后“十出十进”表面为有效短语，但实际表达“时出时进”，属于同音词造成的歧义。,否,,十出十进 -> 时出时进
6,biz_symbol_000024#1,祝APEX手把玩家3年之内1+4完,祝APEX手把玩家3年之内一家死完,否,1+4 -> 一家死,否,1+4完 -> 一家死完,祝APEX手把玩家3年之内1+4完 -> 祝APEX手把玩家3年之内一家死完,拟音,语音符号替代,变体“1+4”通过数字“1”和“4”及符号“+”的发音“一加四”来近似“一家死”，属于语音符号替代。,否,,1+4完 -> 一家死完
7,biz_symbol_000010#1,来世做个小公举，只吃几把不吃苦,来世做个小公主，只吃鸡巴不吃苦,是,小公举 -> 小公主；几把 -> 鸡巴,否,小公举 -> 小公主；几把 -> 鸡巴,来世做个小公举，只吃几把不吃苦 -> 来世做个小公主，只吃鸡巴不吃苦,拟音,非词汇同音词,“小公举”和“几把”均为非标准词汇，通过同音或近音代替“小公主”和“鸡巴”，属于拟音大类中的非词汇同音词。,否,,小公举 -> 小公主；几把 -> 鸡巴
8,biz_symbol_000137#1,茂名🦆男全国可飞,茂名鸭男全国可飞,是,🦆 -> 鸭,否,🦆男 -> 鸭男,茂名🦆男全国可飞 -> 茂名鸭男全国可飞,其他,表情符号替换,使用鸭子表情符号🦆代替汉字“鸭”，属于表情符号替换。,否,,🦆男 -> 鸭男
9,biz_symbol_000143#1,我是超级🐔巴高玩老大。,我是超级鸡巴睾丸老大。,否,🐔 -> 鸡；高玩 -> 睾丸,否,🐔巴 -> 鸡巴；高玩 -> 睾丸,我是超级🐔巴高玩老大。 -> 我是超级鸡巴睾丸老大。,其他,表情符号替换,变种文本中包含表情符号🐔替换汉字鸡，属于表情符号替换，同时高玩为拟音，但主要变种为表情符号替换，故分类为表情符号替换。,否,,🐔巴 -> 鸡巴；高玩 -> 睾丸
10,biz_rare_char_000065#1,匿孖码撕了,你妈妈死了,否,匿孖码撕 -> 你妈妈死,否,匿孖码撕了 -> 你妈妈死了,匿孖码撕了 -> 你妈妈死了,拟音,非词汇同音词,变体“匿孖码撕”是无意义的字符串，通过读音 ni4 zi1/ma1 ma3 si1 近似“你妈妈死”，符合非词汇同音词定义。,否,,匿孖码撕了 -> 你妈妈死了
11,biz_rare_char_000126#1,鰠逼一个,骚逼一个,否,鰠 -> 骚,否,鰠逼 -> 骚逼,鰠逼一个 -> 骚逼一个,拟音,非词汇同音词,变体'鰠'与'骚'同音，但'鰠'非标准常用字，表面不能构成有效词汇，需通过语音解码为'骚逼'，符合非词汇同音词定义。,否,,鰠逼 -> 骚逼
12,biz_rare_char_000161#1,襙路婷婷臊俾,操路婷婷骚逼,是,襙 -> 操；臊俾 -> 骚逼,否,襙 -> 操；臊俾 -> 骚逼,襙路婷婷臊俾 -> 操路婷婷骚逼,拟音,非词汇同音词,变体“襙”和“臊俾”均为同音或音近替换，但“襙”和“臊俾”等表面形式不能构成有效词汇，需通过语音解码为“操”和“骚逼”，符合非词汇同音词定义。,否,,襙 -> 操；臊俾 -> 骚逼
13,biz_rare_char_000128#1,吸特乐吸嗨,希特勒吸嗨,否,吸 -> 希；乐 -> 勒,否,吸特乐 -> 希特勒,吸特乐吸嗨 -> 希特勒吸嗨,拟音,非词汇同音词,变体“吸特乐”通过同音字替换“希特勒”，但“吸特乐”不是有效词汇，符合非词汇同音词定义。,否,,吸特乐 -> 希特勒
14,biz_0001#1,被那么大的🐔c的样子就快gc了舌尖也耷在嘴唇边,被那么大的鸡巴操的样子就快高潮了舌尖也耷在嘴唇边,是,🐔c -> 鸡巴操；gc -> 高潮,是,🐔c -> 鸡巴操；gc -> 高潮,被那么大的🐔c的样子就快gc了舌尖也耷在嘴唇边 -> 被那么大的鸡巴操的样子就快高潮了舌尖也耷在嘴唇边,其他,缩写,变种主要使用拼音首字母缩写代替汉字，如“gc”代“高潮”，字母“c”代“操”；表情符号“🐔”直接表示“鸡”，但整体变种的核心编码方式为缩写。,是,c -> ci；gc -> ge ci,🐔ci -> 鸡巴操；ge ci -> 高潮
15,biz_symbol_000039#1,学儿食媳汁，不亦乐乎,学而时习之，不亦说乎,否,儿食媳汁 -> 而时习之；乐 -> 说,否,儿食媳汁 -> 而时习之；不亦乐乎 -> 不亦说乎,学儿食媳汁，不亦乐乎 -> 学而时习之，不亦说乎,拟音,非词汇同音词,变种文本通过同音字替换形成，如“儿食媳汁”对应“而时习之”，表面无意义，通过语音解码还原为原句，符合非词汇同音词定义。,否,,儿食媳汁 -> 而时习之；不亦乐乎 -> 不亦说乎
16,biz_rare_char_000073#1,马嘉祺桂头最红润,马嘉祺龟头最红润,是,桂 -> 龟,否,桂头 -> 龟头,马嘉祺桂头最红润 -> 马嘉祺龟头最红润,拟音,非词汇同音词,用“桂(guì)”替代“龟(guī)”，声韵相同仅声调不同，发音相近，且“桂头”并非有效词汇，需通过语音解码理解其含义。,否,,桂头 -> 龟头
17,biz_symbol_000083#1,𝓐𝓡𝓶𝓽𝓼.(举报4000+),𝓐𝓡𝓶𝓽𝓼.(举报死全家),是,4000+ -> 死全家,否,举报4000+ -> 举报死全家,𝓐𝓡𝓶𝓽𝓼.(举报4000+) -> 𝓐𝓡𝓶𝓽𝓼.(举报死全家),拟音,语音符号替代,数字“4000+”的读音与“死全家”相近，通过语音替代实现编码，属于语音符号替代。,否,,举报4000+ -> 举报死全家
18,biz_0007#1,以后可以多多上新一点女a男o或者4i嘛好可爱好萌哦。。。,以后可以多多上新一点女a男o或者第四爱嘛好可爱好萌哦。。。,是,4i -> 第四爱,是,4i -> 第四爱,以后可以多多上新一点女a男o或者4i嘛好可爱好萌哦。。。 -> 以后可以多多上新一点女a男o或者第四爱嘛好可爱好萌哦。。。,拟音,语音符号替代,“4i”利用数字“4”的发音和字母“i”的发音模拟“四爱”，从而替代“第四爱”，符合语音符号替代的定义。,是,i -> yi,4 i -> 第四爱
19,biz_symbol_000140#1,泪水打湿斐济杯，发誓混进男娘堆,泪水打湿飞机杯，发誓混进男娘堆,是,斐济 -> 飞机,否,斐济杯 -> 飞机杯,泪水打湿斐济杯，发誓混进男娘堆 -> 泪水打湿飞机杯，发誓混进男娘堆,拟音,歧义同音词,“斐济”作为国家名，发音与“飞机”相近，利用现有词汇的同音关系进行替换，属于歧义同音词。,否,,斐济杯 -> 飞机杯
20,biz_0008#1,1看见0这么sao也是一个没忍住蛇了，蛇完也不出来,1看见0这么骚也是一个没忍住射了，射完也不出来,是,sao -> 骚；蛇 -> 射,是,这么sao -> 这么骚；蛇了 -> 射了；蛇完 -> 射完,1看见0这么sao也是一个没忍住蛇了，蛇完也不出来 -> 1看见0这么骚也是一个没忍住射了，射完也不出来,拟音,歧义同音词,变种文本中同时使用了拼音“sao”替代“骚”和汉字“蛇”替代“射”，但以具有完整字面意义的汉字同音词“蛇”为主要变体，属于拟音大类中的歧义同音词。,,,这么sao -> 这么骚；蛇了 -> 射了；蛇完 -> 射完
21,biz_symbol_000160#1,ao ba  ma,奥巴马,是,ao ba ma -> 奥巴马,是,ao ba ma -> 奥巴马,ao ba  ma -> 奥巴马,拟音,语音符号替代,使用拼音'ao ba ma'根据发音代替标准汉字'奥巴马'，属于语音符号替代。,,,ao ba ma -> 奥巴马
22,biz_0017#1,攻直接当着他们的面c受，受受不了哭了,攻直接当着他们的面操受，受受不了哭了,否,c -> 操,是,c受 -> 操受,攻直接当着他们的面c受，受受不了哭了 -> 攻直接当着他们的面操受，受受不了哭了,其他,缩写,使用拼音首字母c代替汉字‘操’，属于拼音缩写，发音无关。,是,c -> ci,ci受 -> 操受
23,biz_0025#1,断断续续的说话时和不间断的y叫声，让蓝忘机qing🐟上涌,断断续续的说话时和不间断的淫叫声，让蓝忘机情欲上涌,是,y -> 淫；qing🐟 -> 情欲,是,y叫声 -> 淫叫声；qing🐟上涌 -> 情欲上涌,断断续续的说话时和不间断的y叫声，让蓝忘机qing🐟上涌 -> 断断续续的说话时和不间断的淫叫声，让蓝忘机情欲上涌,其他,表情符号替换,变体中的“🐟”是表情符号，通过鱼（yú）的读音替代“欲”，构成表情符号替换；同时文本中另有拼音首字母“y”替代“淫”，但整体以表情符号替换为主要特征。,是,y -> yi,yi叫声 -> 淫叫声；qing🐟上涌 -> 情欲上涌
24,biz_0014#1,老师老师！我想在vb发 标注小红书上的账号就可以嘛～,老师老师！我想在微博发 标注小红书上的账号就可以嘛～,是,vb -> 微博,是,在vb发 -> 在微博发,老师老师！我想在vb发 标注小红书上的账号就可以嘛～ -> 老师老师！我想在微博发 标注小红书上的账号就可以嘛～,其他,缩写,“vb”是“微博”的拼音首字母缩写，发音与原词无关，属于其他大类中的缩写。,是，v特殊,,在vb发 -> 在微博发
25,biz_0015#1,真被邻居看到了，是几个lsp，说什么把受也给他cc,真被邻居看到了，是几个老色批，说什么把受也给他操操,是,lsp -> 老色批；cc -> 操操,是,lsp -> 老色批；cc -> 操操,真被邻居看到了，是几个lsp，说什么把受也给他cc -> 真被邻居看到了，是几个老色批，说什么把受也给他操操,其他,缩写,lsp是“老色批”的拼音首字母缩写，cc是“操操”的拼音首字母缩写，均与发音无关，属于缩写类别。,是,lsp -> le si po；cc -> ci ci,le si po -> 老色批；ci ci -> 操操
