id,source_dataset,source_record_id,variant_text,variant_text_normalized,phonetic_text,variant_pinyin,ipa,ipa_source,canonical_text,canonical_pinyin,canonical_ipa,variant_type,split,occurrence_count,duplicate_record_ids,input_text,input_ipa,input_text_ipa
local:biz_symbol_000075#1:01,local_657_homophone_fragments,biz_symbol_000075#1:01,没跌媚娘,没跌媚娘,没跌媚娘,mei2 die1 mei4 niang2,mei˧˥ tiɛ˥ mei˥˩ niɑŋ˧˥,generated_mandarin_tonal,没爹没娘,mei2 die1 mei2 niang2,mei˧˥ tiɛ˥ mei˧˥ niɑŋ˧˥,非词汇同音词,train,1,[],[VARIANT] 没跌媚娘,[IPA] mei˧˥ tiɛ˥ mei˥˩ niɑŋ˧˥,[VARIANT] 没跌媚娘 [IPA] mei˧˥ tiɛ˥ mei˥˩ niɑŋ˧˥
local:biz_symbol_000069#1:01,local_657_homophone_fragments,biz_symbol_000069#1:01,十出十进,十出十进,十出十进,shi2 chu1 shi2 jin4,ʂɻ̩˧˥ ʈʂʰu˥ ʂɻ̩˧˥ tɕin˥˩,generated_mandarin_tonal,时出时进,shi2 chu1 shi2 jin4,ʂɻ̩˧˥ ʈʂʰu˥ ʂɻ̩˧˥ tɕin˥˩,歧义同音词,train,1,[],[VARIANT] 十出十进,[IPA] ʂɻ̩˧˥ ʈʂʰu˥ ʂɻ̩˧˥ tɕin˥˩,[VARIANT] 十出十进 [IPA] ʂɻ̩˧˥ ʈʂʰu˥ ʂɻ̩˧˥ tɕin˥˩
local:biz_symbol_000010#1:01,local_657_homophone_fragments,biz_symbol_000010#1:01,小公举,小公举,小公举,xiao3 gong1 ju3,ɕiɑʊ˨˩˦ kʊŋ˥ tɕy˨˩˦,generated_mandarin_tonal,小公主,xiao3 gong1 zhu3,ɕiɑʊ˨˩˦ kʊŋ˥ ʈʂu˨˩˦,非词汇同音词,train,1,[],[VARIANT] 小公举,[IPA] ɕiɑʊ˨˩˦ kʊŋ˥ tɕy˨˩˦,[VARIANT] 小公举 [IPA] ɕiɑʊ˨˩˦ kʊŋ˥ tɕy˨˩˦
local:biz_symbol_000010#1:02,local_657_homophone_fragments,biz_symbol_000010#1:02,几把,几把,几把,ji3 ba3,tɕi˨˩˦ pa˨˩˦,generated_mandarin_tonal,鸡巴,ji1 ba1,tɕi˥ pa˥,非词汇同音词,train,13,"[""codedlang:234:02"", ""codedlang:341:02"", ""codedlang:467:02"", ""codedlang:583:01"", ""codedlang:595:01"", ""codedlang:623:01"", ""codedlang:661:01"", ""codedlang:696:01"", ""codedlang:727:01"", ""codedlang:760:01"", ""codedlang:849:01"", ""codedlang:850:01""]",[VARIANT] 几把,[IPA] tɕi˨˩˦ pa˨˩˦,[VARIANT] 几把 [IPA] tɕi˨˩˦ pa˨˩˦
local:biz_rare_char_000065#1:01,local_657_homophone_fragments,biz_rare_char_000065#1:01,匿孖码撕了,匿孖码撕了,匿孖码撕了,ni4 ma1 ma3 si1 le,ni˥˩ ma˥ ma˨˩˦ sɹ̩˥ lɤ,generated_mandarin_tonal,你妈妈死了,ni3 ma1 ma1 si3 le,ni˨˩˦ ma˥ ma˥ sɹ̩˨˩˦ lɤ,非词汇同音词,train,1,[],[VARIANT] 匿孖码撕了,[IPA] ni˥˩ ma˥ ma˨˩˦ sɹ̩˥ lɤ,[VARIANT] 匿孖码撕了 [IPA] ni˥˩ ma˥ ma˨˩˦ sɹ̩˥ lɤ
local:biz_rare_char_000161#1:02,local_657_homophone_fragments,biz_rare_char_000161#1:02,臊俾,臊俾,臊俾,sao1 bi3,sɑʊ˥ pi˨˩˦,generated_mandarin_tonal,骚逼,sao1 bi1,sɑʊ˥ pi˥,非词汇同音词,train,1,[],[VARIANT] 臊俾,[IPA] sɑʊ˥ pi˨˩˦,[VARIANT] 臊俾 [IPA] sɑʊ˥ pi˨˩˦
local:biz_rare_char_000128#1:01,local_657_homophone_fragments,biz_rare_char_000128#1:01,吸特乐,吸特乐,吸特乐,xi1 te4 le4,ɕi˥ tʰɤ˥˩ lɤ˥˩,generated_mandarin_tonal,希特勒,xi1 te4 lei1,ɕi˥ tʰɤ˥˩ lei˥,非词汇同音词,train,1,[],[VARIANT] 吸特乐,[IPA] ɕi˥ tʰɤ˥˩ lɤ˥˩,[VARIANT] 吸特乐 [IPA] ɕi˥ tʰɤ˥˩ lɤ˥˩
local:biz_symbol_000039#1:01,local_657_homophone_fragments,biz_symbol_000039#1:01,儿食媳汁,儿食媳汁,儿食媳汁,er2 shi2 xi2 zhi1,əɻ˧˥ ʂɻ̩˧˥ ɕi˧˥ ʈʂɻ̩˥,generated_mandarin_tonal,而时习之,er2 shi2 xi2 zhi1,əɻ˧˥ ʂɻ̩˧˥ ɕi˧˥ ʈʂɻ̩˥,非词汇同音词,train,1,[],[VARIANT] 儿食媳汁,[IPA] əɻ˧˥ ʂɻ̩˧˥ ɕi˧˥ ʈʂɻ̩˥,[VARIANT] 儿食媳汁 [IPA] əɻ˧˥ ʂɻ̩˧˥ ɕi˧˥ ʈʂɻ̩˥
local:biz_symbol_000039#1:02,local_657_homophone_fragments,biz_symbol_000039#1:02,不亦乐乎,不亦乐乎,不亦乐乎,bu4 yi4 le4 hu1,pu˥˩ i˥˩ lɤ˥˩ xu˥,generated_mandarin_tonal,不亦说乎,bu4 yi4 yue4 hu1,pu˥˩ i˥˩ yɛ˥˩ xu˥,非词汇同音词,train,1,[],[VARIANT] 不亦乐乎,[IPA] pu˥˩ i˥˩ lɤ˥˩ xu˥,[VARIANT] 不亦乐乎 [IPA] pu˥˩ i˥˩ lɤ˥˩ xu˥
local:biz_0007#1:01,local_657_homophone_fragments,biz_0007#1:01,4i,4 i,四 ai,si4 ai,sɹ̩˥˩ ai,generated_mandarin_tonal,第四爱,di4 si4 ai4,ti˥˩ sɹ̩˥˩ ai˥˩,语音替代,train,1,[],[VARIANT] 4i,[IPA] sɹ̩˥˩ ai,[VARIANT] 4i [IPA] sɹ̩˥˩ ai
