fragment_id,source_row_id,variant_fragment_raw,variant_fragment_normalized,phonetic_text,pinyin_reading,canonical_fragment,canonical_phonetic_text,canonical_pinyin_reading,canonical_ipa,canonical_ipa_candidate,canonical_needs_manual_review,canonical_manual_review_reasons,ipa,ipa_candidate,needs_manual_review,manual_review_reasons,normalization_rules,macro_category,category,original_variant_text,original_canonical_text
biz_symbol_000025#1:01,biz_symbol_000025#1,王者荣耀策划4000+,王者荣耀策划4000+,王者荣耀策划四千加,wang2 zhe3 rong2 yao4 ce4 hua4 si4 qian1 jia1,王者荣耀策划死全家,王者荣耀策划死全家,wang2 zhe3 rong2 yao4 ce4 hua4 si3 quan2 jia1,wɑŋ˧˥ ʈʂɤ˨˩˦ ɻʊŋ˧˥ jɑʊ˥˩ tsʰɤ˥˩ xua˥˩ sɹ̩˨˩˦ tɕʰyɛn˧˥ tɕia˥,wɑŋ˧˥ ʈʂɤ˨˩˦ ɻʊŋ˧˥ jɑʊ˥˩ tsʰɤ˥˩ xua˥˩ sɹ̩˨˩˦ tɕʰyɛn˧˥ tɕia˥,否,,wɑŋ˧˥ ʈʂɤ˨˩˦ ɻʊŋ˧˥ jɑʊ˥˩ tsʰɤ˥˩ xua˥˩ sɹ̩˥˩ tɕʰiɛn˥ tɕia˥,wɑŋ˧˥ ʈʂɤ˨˩˦ ɻʊŋ˧˥ jɑʊ˥˩ tsʰɤ˥˩ xua˥˩ sɹ̩˥˩ tɕʰiɛn˥ tɕia˥,否,,"[{""surface"": ""4000+"", ""text"": ""四千加""}]",拟音,语音符号替代,王者荣耀策划4000+,王者荣耀策划死全家
biz_symbol_000075#1:01,biz_symbol_000075#1,没跌媚娘,没跌媚娘,没跌媚娘,mei2 die1 mei4 niang2,没爹没娘,没爹没娘,mei2 die1 mei2 niang2,mei˧˥ tiɛ˥ mei˧˥ niɑŋ˧˥,mei˧˥ tiɛ˥ mei˧˥ niɑŋ˧˥,否,,mei˧˥ tiɛ˥ mei˥˩ niɑŋ˧˥,mei˧˥ tiɛ˥ mei˥˩ niɑŋ˧˥,否,,[],拟音,非词汇同音词,没跌媚娘看腻木呢？🤓,没爹没娘看你妈呢？🤓
biz_symbol_000075#1:02,biz_symbol_000075#1,看腻木呢,看腻木呢,看腻木呢,kan4 ni4 mu4 ne,看你妈呢,看你妈呢,kan4 ni3 ma1 ne,kʰan˥˩ ni˨˩˦ ma˥ nɤ,kʰan˥˩ ni˨˩˦ ma˥ nɤ,否,,kʰan˥˩ ni˥˩ mu˥˩ nɤ,kʰan˥˩ ni˥˩ mu˥˩ nɤ,否,,[],拟音,非词汇同音词,没跌媚娘看腻木呢？🤓,没爹没娘看你妈呢？🤓
biz_symbol_000069#1:01,biz_symbol_000069#1,十出十进,十出十进,十出十进,shi2 chu1 shi2 jin4,时出时进,时出时进,shi2 chu1 shi2 jin4,ʂɻ̩˧˥ ʈʂʰu˥ ʂɻ̩˧˥ tɕin˥˩,ʂɻ̩˧˥ ʈʂʰu˥ ʂɻ̩˧˥ tɕin˥˩,否,,ʂɻ̩˧˥ ʈʂʰu˥ ʂɻ̩˧˥ tɕin˥˩,ʂɻ̩˧˥ ʈʂʰu˥ ʂɻ̩˧˥ tɕin˥˩,否,,[],拟音,歧义同音词,小姐姐十出十进干.,小姐姐时出时进干.
biz_symbol_000024#1:01,biz_symbol_000024#1,1+4完,1+4完,一加四完,yi1 jia1 si4 wan2,一家死完,一家死完,yi1 jia1 si3 wan2,i˥ tɕia˥ sɹ̩˨˩˦ wan˧˥,i˥ tɕia˥ sɹ̩˨˩˦ wan˧˥,否,,i˥ tɕia˥ sɹ̩˥˩ wan˧˥,i˥ tɕia˥ sɹ̩˥˩ wan˧˥,否,,"[{""surface"": ""1"", ""text"": ""一""}, {""surface"": ""+"", ""text"": ""加""}, {""surface"": ""4"", ""text"": ""四""}]",拟音,语音符号替代,祝APEX手把玩家3年之内1+4完,祝APEX手把玩家3年之内一家死完
biz_symbol_000010#1:01,biz_symbol_000010#1,小公举,小公举,小公举,xiao3 gong1 ju3,小公主,小公主,xiao3 gong1 zhu3,ɕiɑʊ˨˩˦ kʊŋ˥ ʈʂu˨˩˦,ɕiɑʊ˨˩˦ kʊŋ˥ ʈʂu˨˩˦,否,,ɕiɑʊ˨˩˦ kʊŋ˥ tɕy˨˩˦,ɕiɑʊ˨˩˦ kʊŋ˥ tɕy˨˩˦,否,,[],拟音,非词汇同音词,来世做个小公举，只吃几把不吃苦,来世做个小公主，只吃鸡巴不吃苦
biz_symbol_000010#1:02,biz_symbol_000010#1,几把,几把,几把,ji3 ba3,鸡巴,鸡巴,ji1 ba1,tɕi˥ pa˥,tɕi˥ pa˥,否,,tɕi˨˩˦ pa˨˩˦,tɕi˨˩˦ pa˨˩˦,否,,[],拟音,非词汇同音词,来世做个小公举，只吃几把不吃苦,来世做个小公主，只吃鸡巴不吃苦
biz_rare_char_000065#1:01,biz_rare_char_000065#1,匿孖码撕了,匿孖码撕了,匿孖码撕了,ni4 ma1 ma3 si1 le,你妈妈死了,你妈妈死了,ni3 ma1 ma1 si3 le,ni˨˩˦ ma˥ ma˥ sɹ̩˨˩˦ lɤ,ni˨˩˦ ma˥ ma˥ sɹ̩˨˩˦ lɤ,否,,ni˥˩ ma˥ ma˨˩˦ sɹ̩˥ lɤ,ni˥˩ ma˥ ma˨˩˦ sɹ̩˥ lɤ,否,,[],拟音,非词汇同音词,匿孖码撕了,你妈妈死了
biz_rare_char_000126#1:01,biz_rare_char_000126#1,鰠逼,鰠逼,鰠逼,sao1 bi1,骚逼,骚逼,sao1 bi1,sɑʊ˥ pi˥,sɑʊ˥ pi˥,否,,sɑʊ˥ pi˥,sɑʊ˥ pi˥,否,,[],拟音,非词汇同音词,鰠逼一个,骚逼一个
biz_rare_char_000161#1:01,biz_rare_char_000161#1,襙,襙,襙,cao4,操,操,cao1,tsʰɑʊ˥,tsʰɑʊ˥,否,,tsʰɑʊ˥˩,tsʰɑʊ˥˩,否,,[],拟音,非词汇同音词,襙路婷婷臊俾,操路婷婷骚逼
