fragment_id,source_dataset,review_id,variant_fragment_raw,variant_fragment_normalized,phonetic_text,pinyin_reading,canonical_fragment,canonical_phonetic_text,canonical_pinyin_reading,ipa,ipa_candidate,canonical_ipa,canonical_ipa_candidate,needs_manual_review,manual_review_reasons,extraction_method,category,review_categories,official_code_pinyin,official_decode_pinyin,official_code_ipa,official_decode_ipa,original_review,decode_review
codedlang:8:01,Crowd-AI-Lab/CodedLang,8,乚,乚,乚,yin3,好,好,hao3,in˨˩˦,in˨˩˦,xɑʊ˨˩˦,xɑʊ˨˩˦,否,[],official_dictionary_casefold,语音替代,phonetic,hao2,hao3,i˧˩˧n,xau̯˧˩˧,乚,好
codedlang:12:01,Crowd-AI-Lab/CodedLang,12,惹,惹,惹,re3,了,了,le,ɻɤ˨˩˦,ɻɤ˨˩˦,lɤ,lɤ,否,[],official_dictionary_casefold,歧义同音词,ambiguous_homophone,re3,le,ɻɤ˧˩˧,lɤ,一不小心 還是買惹 vitamin & nuts 0305y14,一不小心 還是買了 vitamin & nuts 0305y14
codedlang:15:01,Crowd-AI-Lab/CodedLang,15,6,6,六,liu4,厉害,厉害,li4 hai4,liou˥˩,liou˥˩,li˥˩ xai˥˩,li˥˩ xai˥˩,否,[],official_dictionary_casefold,歧义同音词,ambiguous_homophone,liu4,li4 hai4,ljou̯˥˩,li˥˩ xai̯˥˩,6到爆炸！！超级好吃的烤鱼！！烤鱼届的翘楚！！老板人很好，还送了一份小菜～ Very delicious！It totally deserve five stars！,厉害到爆炸！！超级好吃的烤鱼！！烤鱼届的翘楚！！老板人很好，还送了一份小菜～ Very delicious！It totally deserve five stars！
codedlang:17:01,Crowd-AI-Lab/CodedLang,17,蔡,蔡,蔡,cai4,菜,菜,cai4,tsʰai˥˩,tsʰai˥˩,tsʰai˥˩,tsʰai˥˩,否,[],official_dictionary_casefold,歧义同音词,ambiguous_homophone,cai4,cai4,tsʰai̯˥˩,tsʰai̯˥˩,蔡好,菜好
codedlang:20:01,Crowd-AI-Lab/CodedLang,20,金厚呷,金厚呷,金厚呷,jin1 hou4 ga1,真好吃,真好吃,zhen1 hao3 chi1,tɕin˥ xoʊ˥˩ ka˥,tɕin˥ xoʊ˥˩ ka˥,ʈʂən˥ xɑʊ˨˩˦ ʈʂʰɻ̩˥,ʈʂən˥ xɑʊ˨˩˦ ʈʂʰɻ̩˥,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,jin1 hou4 xia2,zhen1 hao3 chi1,tɕi˥n xou̯˥˩ ɕja˧˥,ʈʂə˥n xau̯˧˩˧ ʈʂʰɻ̩˥,金厚呷....,真好吃....
codedlang:26:01,Crowd-AI-Lab/CodedLang,26,jb,jb,jb,jb,鸡巴,鸡巴,ji1 ba1,dʒˌeɪbˈiː,dʒˌeɪbˈiː,tɕi˥ pa˥,tɕi˥ pa˥,否,[],official_dictionary_casefold,语音替代,phonetic,jb,ji1 ba1,ˈdʒeɪ pi˥,tɕi˥ pa˥,真的不要住这个jb地方。That’s all what I can say.,真的不要住这个鸡巴地方。That’s all what I can say.
codedlang:28:01,Crowd-AI-Lab/CodedLang,28,Jb,Jb,Jb,Jb,鸡巴,鸡巴,ji1 ba1,dʒˌeɪbˈiː,dʒˌeɪbˈiː,tɕi˥ pa˥,tɕi˥ pa˥,否,[],official_dictionary_casefold,语音替代,phonetic,jb,ji1 ba1,ˈdʒeɪ pi˥,tɕi˥ pa˥,什么Jb东西 番薯冰的要死 外卖态度及其恶劣 bk很多选择 千万别点这家  terrible sweet potato fries cold and bad never order again next time !,什么鸡巴东西 番薯冰的要死 外卖态度及其恶劣 逼k很多选择 千万别点这家  terri逼le sweet potato fries cold and 逼ad never order again next time !
codedlang:34:01,Crowd-AI-Lab/CodedLang,34,D野,D野,D野,D ye3,,,,dˈiː jɛ˨˩˦,dˈiː jɛ˨˩˦,,,是,"[{""type"": ""missing_dictionary_decode""}]",not_in_official_dictionary,语音替代,phonetic,,,,,D野好平,啲野好平
codedlang:39:01,Crowd-AI-Lab/CodedLang,39,灰常,灰常,灰常,hui1 chang2,非常,非常,fei1 chang2,xuei˥ ʈʂʰɑŋ˧˥,xuei˥ ʈʂʰɑŋ˧˥,fei˥ ʈʂʰɑŋ˧˥,fei˥ ʈʂʰɑŋ˧˥,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,hui1 chang2,fei1 chang2,xwei̯˥ ʈʂʰa˧˥ŋ,fei̯˥ ʈʂʰa˧˥ŋ,灰常不错的餐厅，点original+bun的，有点像花卷加肉团，酱也特别好吃，适合亚洲人…还有catfish也不错，不过只有rice的，我今天喉咙痛没有点neighborhood，有点遗憾……据说是最热门的…,非常不错的餐厅，点original+逼un的，有点像花卷加肉团，酱也特别好吃，适合亚洲人…还有catfish也不错，不过只有rice的，我今天喉咙痛没有点neigh逼orhood，有点遗憾……据说是最热门的…
codedlang:40:01,Crowd-AI-Lab/CodedLang,40,菇凉,菇凉,菇凉,gu1 liang2,姑娘,姑娘,gu1 niang2,ku˥ liɑŋ˧˥,ku˥ liɑŋ˧˥,ku˥ niɑŋ˧˥,ku˥ niɑŋ˧˥,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,gu1 liang2,gu1 niang2,ku˥ lja˧˥ŋ,ku˥ nja˧˥ŋ,气死宝宝了.小菇凉把我电话接来放旁边 .给别人点餐.接别人电话.让我10分钟在打过来说这会忙.还说是已事同人.我一大把年纪了被气坏了😭😭😭,气死宝宝了.小姑娘把我电话接来放旁边 .给别人点餐.接别人电话.让我10分钟在打过来说这会忙.还说是已事同人.我一大把年纪了被气坏了😭😭😭
